genero_musical,promedio_commits,cantidad_entradas
Trap,7.6,80
Cumbia,6.83,60
Electronic,7.53,38
Reggaeton,6.76,38
Rock,8.72,18
Pop,4.0,7
Latin Pop,9.67,3
Funk,8.0,1
