genero_musical,promedio_commits,cantidad_entradas
Trap,5.11,119
Cumbia,4.77,86
Electronic,4.69,61
Reggaeton,4.67,55
Rock,6.54,24
Pop,1.65,17
Latin Pop,7.25,4
Bachata,0.0,1
Funk,8.0,1
